Date,Close,,,,,
2025-12-23,14.00,,,,,
2025-12-24,13.47,,,,,
2025-12-25,13.47,,,,,
2025-12-26,13.60,,,,,
2025-12-29,14.20,,,,,
2025-12-30,14.33,,,,,
2025-12-31,14.95,,,,,
2026-01-01,14.95,,,,,
2026-01-02,14.51,,,,,
2026-01-05,14.90,,,,,
2026-01-06,14.75,,,,,
2026-01-07,15.15,,,,,
